Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
King 1                        ;Cas  ;00 22 03.6 +64 23 02.4;Op    ;OC   ;   26.40;  1659; 0.630; 9.700;MWSC 35                                                                                                           ;
NGC 7058                      ;Cyg  ;21 21 41.3 +50 49 12.0;Op    ;OC   ;   18.00;   404; 0.080; 8.350;MWSC 3501                                                                                                         ;
NGC 7063                      ;Cyg  ;21 24 32.4 +36 29 42.0;Op    ;OC   ;   24.60;   689; 0.090; 7.960;MWSC 3507                                                                                                         ;
NGC 7082                      ;Cyg  ;21 28 48.0 +47 06 36.0;Op    ;OC   ;   39.00;  1300; 0.240; 8.000;MWSC 3517                                                                                                         ;
Taurus I                      ;Tau  ;04 14 32.9 +28 29 24.0;IR    ;YAs  ;   66.00;  1306; 2.240; 8.200;MWSC 352, Taurus I T St Gr, LDN 1495W T St Gr, B 209 T St Gr, [BDS2003] 144                                       ;
NGC 7092                      ;Cyg  ;21 31 48.0 +48 27 00.0;Op    ;OCR? ;  108.00;   310; 0.010; 8.570;MWSC 3521                                                                                                         ;Corona overlaps with Platais 1
NGC 1528                      ;Per  ;04 15 23.3 +51 11 24.0;Op    ;OC   ;   54.00;   950; 0.250; 8.550;MWSC 353                                                                                                          ;
Chereul 2                     ;Peg  ;21 37 18.0 +06 00 47.9;Op    ;MG   ; 1470.00;    97;      ;      ;MWSC 3536, [CCB98] 15, Pegasus 1                                                                                  ;
Trumpler 37                   ;Cep  ;21 39 00.0 +57 29 24.0;Op    ;OC   ;   88.80;   600; 0.420; 6.000;MWSC 3539, 3569, IC 1396, Cep OB2 A, Russeil 138, [R2003] 138                                                     ;
ASCC 114                      ;Cyg  ;21 40 01.2 +53 57 54.0;Op    ;OC   ;   19.20;   590; 0.260; 7.750;MWSC 3542                                                                                                         ;
NGC 7142                      ;Cep  ;21 45 12.5 +65 47 31.2;Op    ;OC   ;   31.20;  2200; 0.450; 9.250;MWSC 3557                                                                                                         ;
Cep OB2 B                     ;Cep  ;21 55 24   +61 43 00  ;Op    ;OB   ;  277.00;   770;      ;      ;MWSC 3569                                                                                                         ;
Collinder 470                 ;Cyg  ;21 53 29.3 +47 15 54.0;Op    ;OC   ;   19.80;   770; 1.150; 6.000;MWSC 3571, Cyg III, Cyg T3                                                                                        ;This is not IC 5146, that refers to the nebula, not to its embedded cluster
NGC 7160                      ;Cep  ;21 53 40.1 +62 36 36.0;Op    ;OC   ;   26.40;   800; 0.250; 7.200;MWSC 3572                                                                                                         ;
ASCC 115                      ;Cyg  ;21 56 40.1 +51 31 30.0;Op    ;OC   ;   25.80;   750; 0.150; 8.350;MWSC 3575                                                                                                         ;
ASCC 116                      ;Cyg  ;21 58 30.0 +54 29 24.0;Op    ;OC   ;   16.80;  1500; 0.510; 7.950;MWSC 3576                                                                                                         ;
ASCC 117                      ;Cep  ;22 05 24.0 +62 16 12.0;Op    ;OC   ;   29.40;  1500; 0.180; 6.230;MWSC 3584                                                                                                         ;
Collinder 471                 ;Cep  ;22 06 44.9 +71 58 30.0;Op    ;OC   ;   16.80;  2210; 1.020; 8.800;MWSC 3587                                                                                                         ;Same as the original Collinder 471? (diam= 130')
ASCC 118                      ;Cep  ;22 08 27.6 +61 05 42.0;Op    ;OCR? ;   24.60;  1033; 0.250; 7.870;MWSC 3589, Alessi-Teutsch 5, Alessi 27                                                                            ;Very sparse
NGC 7243                      ;Lac  ;22 15 10.8 +49 52 30.0;Op    ;OC   ;   72.00;   850; 0.220; 7.970;MWSC 3602                                                                                                         ;
Taurus II                     ;Tau  ;04 18 51   +28 16 25  ;IR    ;YAs  ;   50.00;   140;      ; 6.180;MWSC 361, Taurus II T St Gr, LDN 1495E T St Gr, [BDS2003] 146                                                     ;
[PMH79] 1                     ;Cep  ;22 18 25.2 +63 13 19.2;Op    ;OC   ;   27.00;   800; 0.550; 7.400;MWSC 3611, Pismis-Moreno 1                                                                                        ;
ASCC 119                      ;Lac  ;22 18 39.6 +46 53 06.0;Op    ;OC   ;   25.20;  1200; 0.100; 8.790;MWSC 3614                                                                                                         ;
Cep OB1                       ;Cas  ;23 02 10.2 +57 04 18  ;Op    ;OB   ;        ;  2210;      ;      ;MWSC 3627                                                                                                         ;Large multicenter association
ASCC 120                      ;Cep  ;22 30 16.1 +57 11 42.0;Op    ;OC   ;   25.20;  1500; 0.660; 7.400;MWSC 3631                                                                                                         ;
ASCC 121                      ;Lac  ;22 30 49.7 +54 50 42.0;Op    ;OC   ;   28.20;  2701; 0.450; 6.400;MWSC 3632                                                                                                         ;
ASCC 122                      ;Lac  ;22 33 31.0 +39 34 44.4;Op    ;OB?  ;   67.80;   700; 0.110; 7.700;MWSC 3637                                                                                                         ;Prob. B-association
Teutsch 39                    ;Lac  ;22 36 37.0 +37 43 33.6;Op    ;OC   ;   22.80;   600; 0.200; 7.700;MWSC 3643                                                                                                         ;
ASCC 123                      ;Lac  ;22 42 23.3 +54 15 00.0;Op    ;OC   ;  120.00;   250; 0.150; 8.190;MWSC 3654                                                                                                         ;
Alessi 42 A                   ;Lac  ;22 46 54.0 +53 48 11.9;Op    ;**   ;   36.00;      ;      ;      ;MWSC 3658                                                                                                         ;
NGC 7380                      ;Cep  ;22 47 20.4 +58 05 42.0;Op    ;OC   ;   31.20;  1800; 0.600; 7.250;MWSC 3659                                                                                                         ;
ASCC 124                      ;Lac  ;22 47 34.8 +46 18 36.0;Op    ;OC   ;   37.20;   700; 0.180; 8.200;MWSC 3663, Alessi 37                                                                                              ;
ASCC 125                      ;Cep  ;22 56 29.3 +62 43 19.2;Op    ;OB?  ;   66.00;   569; 0.700; 6.700;MWSC 3677                                                                                                         ;Prob. B-association
NGC 7438                      ;Cas  ;22 57 21.6 +54 22 30.0;Op    ;OC   ;   30.00;  1000; 0.350; 8.800;MWSC 3682, FSR 380                                                                                                ;
FSR 414                       ;Cep  ;23 01 44.4 +62 58 58.8;IR    ;OC   ;    9.00;   957; 0.670; 8.730;MWSC 3688                                                                                                         ;
FSR 416                       ;Cep  ;23 02 06.0 +63 03 54.0;IR    ;OC   ;   13.20;   700; 0.550; 7.850;MWSC 3689                                                                                                         ;
NGC 1545                      ;Per  ;04 21 10.8 +50 15 07.2;Op    ;OC   ;   15.60;   863; 0.350; 8.810;MWSC 369                                                                                                          ;
